name,url,rating,num_reviews,location,categories,last_reviews_count,errors_at,address,menu_url,menu_items_scraped_flag,top_food_items
Chef J Chinese Bistro,/biz/chef-j-chinese-bistro-scottsdale,4.0,234,"Phoenix, AZ","Dim Sum, Asian Fusion, Cantonese",236,-1,"9030 E Via Linda, Scottsdale, AZ 85258",,0,"['Orange Chicken', 'Pot Stickers', 'Kung Pao Chicken', 'Sesame Chicken', 'Spring Roll', 'Singapore Noodles', 'Happy Family', 'Mongolian Beef', 'General Tso Chicken', 'Moo Shu']"
Herm’s Palace,/biz/herms-palace-skokie,4.5,191,"Chicago, IL","American (Traditional), Hot Dogs",191,-1,"3406 Dempster St, Skokie, IL 60076",,0,"['Hot Dog', 'Grilled Cheese Burger', 'Chicago Dog', 'Chopped Steak Sandwich', 'Grilled Chicken Caesar Pita', 'Jumbo Char Dog', 'Chicken Fingers', 'Greek Salad', 'Italian Salad']"
Kusanya Cafe,/biz/kusanya-cafe-chicago,4.5,78,"Chicago, IL",Cafes,78,-1,"825 W 69th St, Chicago, IL 60621",,0,"['Bernie Mac', 'Lupe Tabasco', 'Chicken Funkadelic Sandwich', 'The Big Payback', 'Rasta Jerk Chicken Wrap', 'Ham Master Jay', 'Americano']"
ROOF on theWit,/biz/roof-on-thewit-chicago,3.0,941,"Chicago, IL","Lounges, American (New)",941,"[(700, 940)]","201 N State St, Chicago, IL 60601",,0,[]
Zad by Pita Inn,/biz/zad-by-pita-inn-skokie-3,4.5,156,"Chicago, IL","Mediterranean, Middle Eastern, Halal",156,-1,"3910 W Dempster St, Skokie, IL 60076",,0,"['Lamb', 'Couscous and Vegetable Stew', 'Sambusak', 'Salmon and Couscous', ""Zad's Falafel Wrap"", 'Meat Pie', 'Grilled Chicken Platter', 'Mujadara', 'Steak Kabob', 'Kinafa']"
Flower Child,/biz/flower-child-phoenix-2,4.5,488,"Phoenix, AZ","Salad, American (New), Vegetarian",488,-1,"100 E Camelback Rd, Phoenix, AZ 85012",/menu/flower-child-phoenix-2/menu,1,"['Mother Earth', 'Tofu', 'Avocado Hummus', 'Crushed Avocado Toast', 'Thai Dye', 'Glow Bowl', 'Grass-fed Burger', 'Bird Is the Word', 'Organic Kale']"
Culinary Dropout,/biz/culinary-dropout-scottsdale-4,4.0,1757,"Phoenix, AZ",American (New),1752,-1,"7135 E Camelback Rd, Scottsdale, AZ 85251",/menu/culinary-dropout-scottsdale-4,1,"['Fried Chicken', 'Soft Pretzels & Provolone Fondue', 'Turkey Pastrami Sandwich', 'The Pub Burger', '36-hour Pork Ribs', 'Grilled Chicken Club']"
Roost Chicken and Biscuits,/biz/roost-chicken-and-biscuits-chicago,4.5,83,"Chicago, IL","Sandwiches, Southern",83,-1,"3474 N Clark St, Chicago, IL 60657",/menu/roost-chicken-and-biscuits-chicago,1,[]
The Sicilian Butcher,/biz/the-sicilian-butcher-chandler-2,4.5,457,"Phoenix, AZ","Italian, Desserts, Bars",458,-1,"3151 W Frye Rd, Chandler, AZ 85226",,0,"['Braised Short Ribs', ""Uncle Arthur's Sausage Meatballs"", 'Steak Meatballs', 'Chicken Parm Meatballs', 'Sicilian Meatballs', 'Gelato', 'Stuffed Gnocchi', 'Charred Octopus', 'Veal Meatballs', 'Shrimp Scampi Meatballs']"
Takamatsu,/biz/takamatsu-phoenix,4.0,319,"Phoenix, AZ","Japanese, Korean",318,-1,"4214 W Dunlap Ave, Phoenix, AZ 85051",/menu/takamatsu-phoenix,1,"['Kalbi', 'Bibim Bap', 'Bul Go Ki']"
Sammy’s Kitchen,/biz/sammys-kitchen-chicago,4.5,197,"Chicago, IL",Breakfast & Brunch,197,-1,"5542 W 55th St, Chicago, IL 60638",,0,"['Ham and Eggs', 'French Toast', 'Ham Steak', 'Hungry Man', 'Veggie Omelet', 'Denver Omelette', 'Greek Toast']"
Lou Malnati’s Pizzeria,/biz/lou-malnatis-pizzeria-phoenix-3,4.0,1140,"Phoenix, AZ","Pizza, Italian",1135,-1,"100 E Camelback Rd, Phoenix, AZ 85012",/menu/lou-malnatis-pizzeria-phoenix-3,1,"['Deep Dish Pizza', 'Chicago Deep Dish', 'Malnati Chicago Classic', 'Malnati Salad', 'Thin Crust Pizza', 'Classic Deep Dish', 'Sausage Pizza']"
Buck & Rider,/biz/buck-and-rider-phoenix,4.5,937,"Phoenix, AZ","Seafood, Steakhouses, Breakfast & Brunch",929,-1,"4225 E Camelback Rd, Phoenix, AZ 85018",/menu/buck-and-rider-phoenix/dinner,1,"['Fresh Blue Crab Cakes', 'Crab Cake BLT', 'Evil Thai King Crab Salad', 'Sushi Grade Ahi Tuna Burger', ""Brent's Lobster Roll"", 'Deluxe Spicy Tuna Roll', 'Voodoo Fried Rice', 'Radio Milano Pasta Truffle', 'Pan Crisp Loup De Mer', ""Today's Selection of Fresh Fish""]"
The House Brasserie,/biz/the-house-brasserie-scottsdale,4.0,421,"Phoenix, AZ","American (New), Bars, Steakhouses",417,-1,"6936 E Main St, Scottsdale, AZ 85251",/menu/the-house-brasserie-scottsdale/dinner-menu,1,"['Hudson Valley Foie Gras', 'Linz Steak Tartare', 'Chicken Meatballs', 'Arugula Salad', 'Jumbo Dungeness Crab Cake']"
